# Time-averaged data for fix myRDF
# TimeStep Number-of-rows
# Row c_rdf1[1] c_rdf1[2] c_rdf1[3]
100 100
34 3.35 0.922782 13.8629
35 3.45 0.899802 15.0731
36 3.55 0.926079 16.392
37 3.65 0.961033 17.8389
38 3.75 0.946803 19.3434
39 3.85 0.982524 20.9891
40 3.95 1.04868 22.8383
41 4.05 1.06322 24.8091
42 4.15 1.1554 27.0577
43 4.25 1.1456 29.396
44 4.35 1.10022 31.7486
45 4.45 1.01274 34.0149
46 4.55 1.00881 36.3749
47 4.65 1.01264 38.8491
48 4.75 1.01096 41.4269
49 4.85 1.01898 44.1354
50 4.95 1.01825 46.9549
51 5.05 1.04022 49.9526
52 5.15 1.05628 53.1183
53 5.25 1.00905 56.2611
54 5.35 1.01092 59.5309
55 5.45 1.01604 62.9411
56 5.55 0.988566 66.3823
57 5.65 0.969116 69.8783
58 5.75 0.957763 73.4566
59 5.85 0.950111 77.1309
60 5.95 0.926017 80.8354
61 6.05 0.944298 84.7411
62 6.15 0.959556 88.8423
63 6.25 1.00417 93.2749
64 6.35 0.985214 97.764
65 6.45 0.987981 102.409
66 6.55 0.996312 107.239
67 6.65 1.01304 112.301
68 6.75 0.97844 117.339
69 6.85 0.994707 122.613
70 6.95 1.00391 128.093
71 7.05 0.993489 133.673
72 7.15 0.997267 139.434
73 7.25 1.02373 145.514
74 7.35 1.0061 151.656
75 7.45 0.991466 157.874
76 7.55 1.02481 164.475
77 7.65 1.02529 171.256
78 7.75 1.00031 178.045
79 7.85 1.02595 185.189
80 7.95 1.04117 192.625
81 8.05 1.00523 199.986
82 8.15 1.02504 207.68
83 8.25 1.02776 215.585
84 8.35 0.997218 223.441
85 8.45 0.990638 231.434
86 8.55 0.993909 239.645
87 8.65 1.0252 248.313
88 8.75 1.0083 257.036
89 8.85 0.990242 265.8
90 8.95 1.02252 275.055
91 9.05 0.981462 284.139
92 9.15 0.988741 293.493
93 9.25 0.977794 302.947
94 9.35 1.00296 312.855
95 9.45 0.991261 322.858
96 9.55 1.00703 333.237
97 9.65 0.991357 343.669
98 9.75 1.00008 354.411
99 9.85 0.975001 365.101
100 9.95 0.978498 376.048
1000 100
1 0.05 0 0
2 0.15 0 0
